matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,t1TopTowerTaken,t1MidTowerTaken,t1BotTowerTaken,t2TopTowerTaken,t2MidTowerTaken,t2BotTowerTaken
NA1_4246867983,2,0,0,0,2336,-1008,1383,731,683,0,0,0,1,0,0
NA1_4249810674,1,1,0,1,936,1694,216,1817,2023,0,0,0,0,0,1
NA1_4260329763,0,2,0,1,-846,-1472,-5485,-2755,-339,1,2,2,0,0,0
NA1_4253638363,0,1,1,0,1312,397,1266,486,874,0,0,0,1,0,0
NA1_4259164367,0,1,0,1,-1981,2913,-114,83,-226,1,0,0,0,0,0
NA1_4246691567,2,0,0,1,101,-1400,1125,974,133,1,0,0,0,0,0
NA1_4252260889,0,0,0,0,-666,30,1108,939,379,0,0,0,0,0,0
NA1_4248227233,2,0,1,0,-150,205,-1980,1463,1159,0,0,0,0,0,0
NA1_4242993207,1,0,1,0,165,-250,-2135,1126,632,0,0,0,0,0,0
NA1_4242265575,1,0,1,0,-1297,1201,473,1081,1432,0,0,0,0,1,1
NA1_4248293379,0,2,1,0,1293,834,15,-403,-829,0,0,1,0,0,0
NA1_4251437938,1,0,0,1,2683,2818,851,411,-675,0,0,0,0,0,0
NA1_4257876871,1,0,0,0,-595,904,514,-1499,-972,1,0,0,0,0,0
NA1_4254104785,1,0,0,0,3202,485,-736,1156,1814,0,0,0,1,0,1
NA1_4241268586,0,1,0,1,2809,347,3217,1362,94,0,0,0,1,2,0
NA1_4257422775,1,0,0,0,1304,-955,4429,-1363,-75,0,0,0,1,1,0
NA1_4251214961,0,2,1,0,1781,1894,-192,-1655,376,0,0,0,1,0,0
NA1_4250706808,0,1,1,0,-879,949,1239,-1561,-1648,0,0,1,0,0,0
NA1_4245559268,2,0,0,0,2197,0,-186,1295,1545,0,0,0,1,0,0
NA1_4251207176,2,0,1,0,5294,985,2357,666,742,0,0,0,2,1,0
NA1_4257247315,2,0,0,0,1035,-230,299,596,-695,0,0,0,0,0,0
NA1_4258158465,1,0,0,0,2339,-462,86,621,787,0,0,0,1,0,0
NA1_4253601411,1,1,1,0,548,-1327,131,-2556,-358,0,0,1,0,0,0
NA1_4252525420,1,0,1,0,1059,793,523,1233,1596,0,0,0,1,0,1
NA1_4242185247,2,0,1,0,-2056,1247,825,-128,-1118,0,0,0,0,0,0
NA1_4257257814,1,0,0,1,12,-488,246,-916,216,0,0,0,0,0,0
NA1_4240296323,1,1,0,1,2594,-405,-96,709,93,0,0,0,1,0,0
NA1_4236708947,1,0,1,0,-1439,-1745,-798,715,-850,0,0,0,0,0,0
NA1_4239444481,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_4256636535,1,1,0,1,886,564,396,-921,85,1,0,0,2,0,0
NA1_4246648067,0,2,1,0,2256,-485,-210,-1989,-597,0,0,0,0,1,0
NA1_4249844262,1,1,1,0,-156,678,1357,1095,2116,0,0,0,0,2,1
NA1_4244225127,1,0,1,0,1505,190,-307,-323,-340,0,0,0,1,0,0
NA1_4245015342,2,0,0,1,-1954,265,406,1437,529,0,0,0,0,0,0
NA1_4247447371,1,0,1,0,760,1343,1171,295,1366,0,0,0,1,0,0
NA1_4238764835,2,0,0,0,-79,-211,648,-1031,-381,0,0,0,0,0,0
NA1_4255986407,0,2,0,1,65,2053,1227,-86,221,0,0,0,0,0,0
NA1_4244636206,0,0,1,0,3660,-1388,252,-155,62,0,0,0,1,0,0
NA1_4258441163,1,0,1,0,1847,786,1880,-347,442,0,0,0,1,0,0
NA1_4241826173,1,1,0,1,-2533,398,1859,-219,978,0,0,0,0,0,0
NA1_4237404647,0,1,0,1,1675,637,1880,-2807,-2226,0,0,0,0,0,0
NA1_4250062442,2,0,0,1,-2078,1902,1021,1899,704,0,0,0,0,0,0
NA1_4240572341,0,2,0,1,-1039,-246,-2163,-1743,-2124,2,0,1,0,0,0
NA1_4238763504,2,0,0,0,-1738,-901,543,-1908,-869,0,0,0,0,0,0
NA1_4253149891,0,1,1,0,-259,-1999,-1048,340,642,0,0,0,0,0,0
NA1_4256136559,0,1,1,0,1152,400,-1934,326,-926,0,0,0,1,0,0
NA1_4256408963,2,0,1,0,1018,1376,774,2248,881,0,0,0,0,0,1
NA1_4243358235,1,0,1,0,-3634,-225,-3365,1106,-1678,1,1,0,0,0,0
