matchId,gameLength,winningTeam,team1Top,team1Jg,team1Mid,team1Adc,team1Supp,team2Top,team2Jg,team2Mid,team2Adc,team2Supp
NA1_4246867983,1752,100,Gangplank,Zac,Zed,Ashe,Leona,Jax,Khazix,Ekko,Lucian,Nautilus
NA1_4249810674,925,100,Gnar,Khazix,Vex,Ezreal,Brand,Yorick,Udyr,Yone,Ziggs,Pantheon
NA1_4260329763,911,200,Fiora,Rengar,Viktor,Kaisa,Galio,Teemo,Diana,Graves,Zeri,Pyke
NA1_4253638363,2800,200,Tryndamere,Ezreal,Varus,LeeSin,Karma,Graves,Volibear,Corki,Jinx,Lux
NA1_4259164367,2189,200,Cassiopeia,Nocturne,Xerath,Zeri,Nami,Volibear,Kayn,Akshan,Ezreal,Seraphine
NA1_4246691567,1872,200,Rengar,Volibear,Ekko,Zed,Lissandra,Chogath,MonkeyKing,Yone,Seraphine,Brand
NA1_4252260889,1535,100,Irelia,Ekko,Yone,Caitlyn,Leblanc,Cassiopeia,LeeSin,Yasuo,Aphelios,Sona
NA1_4248227233,1441,100,Urgot,Shyvana,Vladimir,Zeri,Nautilus,Darius,LeeSin,Akali,Jhin,Thresh
NA1_4242993207,1620,200,Garen,XinZhao,Fizz,Jhin,Neeko,Jax,Nidalee,Twitch,Samira,Lux
NA1_4242265575,2063,100,Quinn,JarvanIV,Caitlyn,Tryndamere,Lux,Yorick,Shyvana,Corki,Jhin,Ziggs
NA1_4248293379,1972,200,Diana,Garen,Qiyana,Jinx,Lulu,Ekko,Viego,Kaisa,Twitch,Yuumi
NA1_4251437938,1659,100,Teemo,Hecarim,Lux,Ashe,Alistar,Urgot,Kayn,Akali,Kaisa,Pyke
NA1_4257876871,1824,100,Quinn,JarvanIV,Syndra,Caitlyn,Thresh,TahmKench,XinZhao,Vladimir,Samira,Pyke
NA1_4254104785,958,100,Malphite,Khazix,Corki,Kaisa,RekSai,Teemo,Hecarim,Qiyana,Vayne,Blitzcrank
NA1_4241268586,2517,100,Tryndamere,MasterYi,Ziggs,Samira,Blitzcrank,Graves,Khazix,Malzahar,Soraka,Lux
NA1_4257422775,2067,100,Yorick,Lillia,Yone,Twitch,Morgana,Fiora,Diana,Sylas,Sivir,Soraka
NA1_4251214961,1800,100,Aatrox,Evelynn,Veigar,Jhin,Zyra,Graves,DrMundo,Jinx,Samira,Brand
NA1_4250706808,2720,100,Darius,Viego,Katarina,Caitlyn,Anivia,Mordekaiser,Lillia,Pantheon,Jinx,Karma
NA1_4245559268,1962,200,Tryndamere,Teemo,Galio,Kalista,Pantheon,Camille,MasterYi,Ryze,Vayne,Soraka
NA1_4251207176,949,100,Yone,Nidalee,Galio,Caitlyn,Bard,Singed,Trundle,Viktor,Twitch,Ashe
NA1_4257247315,2070,200,Camille,Vi,Vex,Lucian,Nami,Kayle,Amumu,Yasuo,Ezreal,Xerath
NA1_4258158465,1466,100,Sett,Trundle,Annie,Jinx,Zilean,Nasus,Darius,Ryze,Ezreal,Amumu
NA1_4253601411,1526,200,Singed,Camille,Irelia,MissFortune,Bard,Darius,LeeSin,Vladimir,Tristana,Sona
NA1_4252525420,1424,100,Sion,Shaco,Yasuo,Yone,Seraphine,Darius,Graves,Zed,Varus,Yuumi
NA1_4242185247,2226,100,Urgot,Kayn,Lissandra,Ezreal,Thresh,Mordekaiser,Trundle,Ahri,Jhin,Lux
NA1_4257257814,1679,100,Teemo,Hecarim,Kayle,Zeri,Senna,Kled,Jax,Ahri,MissFortune,Lux
NA1_4240296323,1438,100,Alistar,JarvanIV,Ryze,Ashe,Tryndamere,Jax,Khazix,Leblanc,Draven,Blitzcrank
NA1_4236708947,1298,200,Irelia,Kindred,Cassiopeia,Tristana,Lulu,Katarina,Rengar,Corki,Zeri,Neeko
NA1_4239444481,623,200,Vladimir,Rengar,TwistedFate,Samira,Soraka,Lucian,MasterYi,Talon,Zeri,Xerath
NA1_4256636535,2132,200,Sion,Shaco,Vex,Lucian,Alistar,Garen,Viego,Rumble,Veigar,Nautilus
NA1_4246648067,2041,200,Olaf,Kindred,Ahri,Ashe,Galio,Irelia,Shaco,TwistedFate,Vayne,Neeko
NA1_4249844262,1286,100,Yone,Shyvana,Yasuo,Lucian,Nami,Garen,Hecarim,Pyke,Ezreal,Thresh
NA1_4244225127,1887,200,Mordekaiser,Hecarim,Cassiopeia,Lucian,Yuumi,Shyvana,Poppy,Pyke,Samira,Nautilus
NA1_4245015342,1574,100,Gragas,Vi,TwistedFate,Kaisa,Lux,Darius,Trundle,Katarina,Ezreal,Morgana
NA1_4247447371,1528,100,Renekton,Evelynn,Irelia,Kaisa,Zyra,Akali,XinZhao,Fizz,Jhin,Rell
NA1_4238764835,1765,100,Graves,Khazix,Morgana,Kaisa,Renata,Renekton,LeeSin,Ryze,Ezreal,Karma
NA1_4255986407,2280,200,Darius,Zed,TwistedFate,Xayah,Senna,Urgot,LeeSin,Yone,Lucian,Brand
NA1_4244636206,2416,200,Irelia,Amumu,Katarina,Jinx,Zilean,Yorick,Karthus,Yone,Samira,Renata
NA1_4258441163,1703,100,Yorick,Warwick,Cassiopeia,Zeri,Sylas,Graves,Shaco,Yone,Kaisa,Soraka
NA1_4241826173,1742,100,MasterYi,Volibear,Diana,MissFortune,Swain,Olaf,Graves,Zoe,Tristana,Nautilus
NA1_4237404647,2021,100,Gnar,Sion,Viktor,Zeri,Blitzcrank,Vayne,Nocturne,Swain,Samira,Taliyah
NA1_4250062442,1917,100,Sett,Vi,Soraka,Ezreal,Karma,Vayne,Kayn,Vex,Jinx,Lux
NA1_4240572341,1531,200,Darius,MasterYi,Malzahar,Jhin,Morgana,Yorick,Udyr,Fizz,MissFortune,Senna
NA1_4238763504,1314,200,Darius,Karthus,Lucian,Jinx,Brand,Renekton,Viego,Viktor,Vayne,Velkoz
NA1_4253149891,1593,200,Shen,Chogath,Yone,Caitlyn,Lissandra,Volibear,Kindred,Ryze,Seraphine,Leblanc
NA1_4256136559,1912,200,Yorick,Diana,Pantheon,Samira,Galio,Kennen,Warwick,Lucian,Jhin,Anivia
NA1_4256408963,1352,100,Sion,Diana,Yasuo,Ezreal,Senna,Karma,Hecarim,Malzahar,Jhin,Renata
NA1_4243358235,1117,200,Garen,Olaf,Renekton,Tristana,Nautilus,Tryndamere,Lillia,Kassadin,Ezreal,Brand
NA1_4251777357,2462,100,Teemo,Ekko,Yasuo,Jinx,Yuumi,Sett,Warwick,Zed,Lucian,Lux
NA1_4254631796,1714,100,Gnar,Amumu,Zed,Samira,Alistar,Jayce,Shaco,Viktor,Brand,Swain
NA1_4250780101,1766,200,Garen,Vi,Cassiopeia,Xayah,Rakan,Camille,Zac,Yasuo,Vayne,Nautilus
NA1_4248555139,1653,200,Trundle,JarvanIV,Kaisa,Ezreal,Karma,Chogath,Nunu,Tryndamere,Aphelios,Senna
NA1_4237219116,1790,200,Riven,Kayn,Yone,Xayah,Leona,Mordekaiser,MasterYi,Yasuo,Tristana,Annie
NA1_4244583208,1899,100,Darius,LeeSin,Azir,Vayne,Nautilus,Nasus,Viego,Katarina,Lucian,Senna
NA1_4256565677,1339,100,Tryndamere,Viego,Ahri,Swain,Maokai,Aatrox,Rengar,Veigar,KogMaw,Nami
NA1_4249005127,1479,200,Quinn,Graves,Akali,Kaisa,Ornn,Aatrox,Rumble,Viktor,Aphelios,Lulu
NA1_4242424156,2128,200,Gangplank,Trundle,Lucian,MissFortune,Karma,Teemo,Khazix,Ahri,Vayne,Leona
NA1_4240369406,1882,100,Illaoi,Viego,Viktor,Draven,Alistar,Aatrox,Hecarim,Veigar,Varus,Nautilus
NA1_4251395315,2656,100,Tryndamere,Zed,Warwick,MissFortune,Morgana,Ornn,Karthus,Ekko,Ezreal,Nami
NA1_4259851266,198,200,Sion,Trundle,Ezreal,Morgana,Garen,Volibear,Ekko,Zeri,Taliyah,
NA1_4244533470,1665,100,Teemo,Hecarim,Katarina,Ezreal,Pyke,Corki,Viego,Sett,Vayne,Rell
NA1_4242384721,1624,200,Tryndamere,Evelynn,Viktor,Jinx,Senna,Jax,Shaco,Akali,Sivir,Zyra
NA1_4252642115,1526,100,Graves,Khazix,Irelia,Jinx,Lulu,Jayce,Kayn,Leblanc,Ezreal,Seraphine
NA1_4252547821,1316,100,Akali,Nocturne,Anivia,Ashe,Leona,Garen,Viego,Varus,Caitlyn,Blitzcrank
NA1_4245581234,2087,100,Kayle,Evelynn,Katarina,Vayne,Pantheon,Gangplank,Lillia,Neeko,Jhin,Senna
NA1_4243330197,1220,200,Nasus,Nocturne,Syndra,Vayne,Nautilus,Tryndamere,Skarner,Draven,Veigar,Blitzcrank
NA1_4252491826,1301,200,Kled,Nocturne,Qiyana,Cassiopeia,Nami,Jayce,Hecarim,Syndra,Jhin,Lux
NA1_4257900086,1638,100,Jayce,Kayn,Annie,Kaisa,Nautilus,Chogath,Qiyana,Malzahar,Jhin,Xerath
NA1_4237305551,1849,100,Teemo,Volibear,Lux,Tristana,Soraka,Fiora,MasterYi,Viktor,Jhin,Sona
NA1_4240438648,1699,200,Urgot,Rengar,Katarina,Draven,Thresh,Illaoi,Nidalee,Yasuo,Jinx,Nautilus
NA1_4258007407,1403,200,Malphite,Kayn,Lissandra,Caitlyn,Soraka,Teemo,Graves,Sion,Zeri,Senna
NA1_4246550266,1631,200,Nasus,Gwen,Mordekaiser,Jhin,Anivia,Sylas,Trundle,Irelia,Samira,Sona
NA1_4244600525,2344,200,Sett,FiddleSticks,Vex,Jinx,Blitzcrank,Ornn,Viego,Heimerdinger,Ziggs,Lux
NA1_4252968167,2015,100,Ornn,LeeSin,Katarina,Aphelios,Morgana,Jax,Hecarim,Teemo,Draven,Alistar
NA1_4257180901,2344,100,Ornn,Viego,Veigar,Jhin,Nami,Camille,Zac,Viktor,Vayne,Zyra
NA1_4250439895,1839,200,Sylas,Karthus,Pantheon,Aphelios,Senna,DrMundo,Diana,Yone,Zeri,Thresh
NA1_4245557488,2036,200,Garen,MasterYi,Veigar,Samira,Nautilus,Yone,Karthus,Katarina,Kaisa,Blitzcrank
NA1_4248666260,1843,100,Gangplank,Lillia,Yone,Vayne,Nautilus,Sett,Zac,Kayle,Ashe,Blitzcrank
NA1_4251569803,1661,100,Riven,Diana,Zoe,Jinx,Thresh,Singed,LeeSin,Azir,MissFortune,Morgana
NA1_4247199356,1469,100,Gwen,Ekko,Yasuo,Jhin,TahmKench,Aatrox,XinZhao,Ahri,Varus,Thresh
NA1_4248278754,1348,200,Garen,Viego,Katarina,Vayne,Bard,Volibear,Warwick,Lissandra,Jinx,Nautilus
NA1_4254576680,1780,200,Jax,Diana,Malzahar,Caitlyn,Malphite,Gangplank,Yone,Velkoz,Ezreal,Brand
NA1_4258132181,1859,200,Kayle,Amumu,Azir,Kaisa,Xerath,Aatrox,Hecarim,Vladimir,KogMaw,Yuumi
NA1_4255336421,1377,100,Corki,Hecarim,Kayle,Ashe,Pyke,Quinn,Zac,Zilean,Zeri,Blitzcrank
NA1_4252597484,1741,200,Veigar,Kayn,Kayle,Ezreal,Soraka,Garen,Poppy,Ryze,MissFortune,Lux
NA1_4237284361,1435,100,Jayce,DrMundo,Singed,Twitch,Rakan,Kassadin,Rengar,Malphite,Jinx,Lulu
NA1_4259155489,1432,100,Mordekaiser,Diana,Malphite,Jinx,Zyra,Renekton,Kindred,Katarina,Vayne,TahmKench
NA1_4247831026,1383,200,Camille,Khazix,Kaisa,Jinx,Nami,Sett,Nunu,Anivia,Ezreal,Lux
NA1_4244772211,1887,100,Darius,Nocturne,Yone,Lucian,Pyke,Fiora,Kayn,Brand,Tristana,Lux
NA1_4254307793,2413,100,Yorick,RekSai,Zed,Jhin,Karma,Ekko,Rammus,Akali,MissFortune,Morgana
NA1_4242300785,2174,200,Jax,Nocturne,Ekko,Samira,Thresh,Fiora,MasterYi,Leblanc,Tristana,Lulu
NA1_4240386360,1791,200,Shen,Rengar,Ekko,Jinx,Galio,Garen,Kaisa,Yasuo,Jhin,Karma
NA1_4254981040,1712,200,Shen,Kindred,Veigar,Samira,Zac,Malzahar,Darius,Trundle,Senna,Seraphine
NA1_4254710688,1883,200,Akshan,Zac,Jayce,Kaisa,Lulu,Darius,Volibear,Ahri,Varus,Ashe
NA1_4247154285,1343,100,Tryndamere,MasterYi,Anivia,Zeri,Lulu,Quinn,Sejuani,Diana,Vayne,Lux
NA1_4250426623,1776,100,Teemo,Hecarim,Leblanc,Vayne,Blitzcrank,Garen,Viego,Lux,Jinx,Leona
